,election_year,pc_name,pc_no,electors,male_electors,female_electors,booths,votes_polled,male_voters,female_voters
18,1977,Amreli,7,"Electors: 4,94,073","Male Electors: 2,45,424","Female Electors: 2,48,649",Booths: 721,"Total Votes Polled: 2,67,457 (54.1%)","Total Male Voters: 1,46,548","Female Voters: 1,20,909"
19,1977,Amritsar,2,"Electors: 6,74,907","Male Electors: 3,68,043","Female Electors: 3,06,864",Booths: 746,"Total Votes Polled: 4,84,968 (71.9%)","Total Male Voters: 2,66,171","Female Voters: 2,18,797"
20,1977,Amroha,6,"Electors: 5,75,748","Male Electors: 3,15,458","Female Electors: 2,60,290",Booths: 602,"Total Votes Polled: 3,59,728 (62.5%)","Total Male Voters: 2,05,182","Female Voters: 1,54,546"
21,1977,Anakapalli,6,"Electors: 7,08,066","Male Electors: 3,36,232","Female Electors: 3,71,834",Booths: 799,"Total Votes Polled: 3,78,738 (53.5%)","Total Male Voters: 1,96,434","Female Voters: 1,82,304"
22,1977,Anand,20,"Electors: 5,64,294","Male Electors: 2,89,524","Female Electors: 2,74,770",Booths: 675,"Total Votes Polled: 4,01,323 (71.1%)","Total Male Voters: 2,19,356","Female Voters: 1,81,967"
23,1977,Anantapur,25,"Electors: 6,40,440","Male Electors: 3,27,169","Female Electors: 3,13,271",Booths: 725,"Total Votes Polled: 4,01,269 (62.7%)","Total Male Voters: 2,17,703","Female Voters: 1,83,566"
24,1977,Anantnag,3,"Electors: 4,71,302","Male Electors: 2,16,541","Female Electors: 2,54,761",Booths: 548,"Total Votes Polled: 2,63,112 (55.8%)","Total Male Voters: 1,67,613","Female Voters: 95,499"
25,1977,Andaman & Nicobar Islands,1,"Electors: 85,308","Male Electors: 55,770","Female Electors: 29,538",Booths: 165,"Total Votes Polled: 60,590 (71.0%)","Total Male Voters: 38,476","Female Voters: 22,114"
26,1977,Aonla,11,"Electors: 5,80,011","Male Electors: 3,24,557","Female Electors: 2,55,454",Booths: 655,"Total Votes Polled: 3,00,461 (51.8%)","Total Male Voters: 1,98,598","Female Voters: 1,01,863"
27,1977,Arakkonam,6,"Electors: 6,67,308","Male Electors: 3,30,167","Female Electors: 3,37,141",Booths: 738,"Total Votes Polled: 4,77,910 (71.6%)","Total Male Voters: 2,45,285","Female Voters: 2,32,625"
28,1977,Arambagh,28,"Electors: 5,80,700","Male Electors: 2,95,724","Female Electors: 2,84,976",Booths: 669,"Total Votes Polled: 3,98,708 (68.7%)","Total Male Voters: 2,19,262","Female Voters: 1,79,446"
29,1977,Araria,22,"Electors: 5,90,569","Male Electors: 3,08,084","Female Electors: 2,82,485",Booths: 670,"Total Votes Polled: 3,47,588 (58.9%)","Total Male Voters: 2,24,102","Female Voters: 1,23,486"
30,1977,Arrah,36,"Electors: 7,17,235","Male Electors: 3,67,219","Female Electors: 3,50,016",Booths: 840,"Total Votes Polled: 4,66,204 (65.0%)","Total Male Voters: 2,71,392","Female Voters: 1,94,812"
31,1977,Arunachal East,2,"Electors: 93,770","Male Electors: 48,437","Female Electors: 45,333",Booths: 304,"Total Votes Polled: 52,764 (56.3%)","Total Male Voters: 30,802","Female Voters: 21,962"
32,1977,Arunachal West,1,"Electors: 1,21,887","Male Electors: 60,876","Female Electors: 61,011",Booths: 1,Margin: RU (NA),,
33,1977,Asansol,38,"Electors: 6,47,254","Male Electors: 3,99,699","Female Electors: 2,47,555",Booths: 707,"Total Votes Polled: 2,87,229 (44.4%)","Total Male Voters: 1,95,896","Female Voters: 91,333"
34,1977,Aska,10,"Electors: 6,58,693","Male Electors: 3,42,058","Female Electors: 3,16,635",Booths: 707,"Total Votes Polled: 3,01,729 (45.8%)","Total Male Voters: 1,76,022","Female Voters: 1,25,707"
35,1977,Aurangabad,40,"Electors: 6,75,445","Male Electors: 3,41,477","Female Electors: 3,33,968",Booths: 801,"Total Votes Polled: 4,15,024 (61.4%)","Total Male Voters: 2,73,916","Female Voters: 1,41,108"
36,1977,Aurangabad,33,"Electors: 6,56,996","Male Electors: 3,23,598","Female Electors: 3,33,398",Booths: 812,"Total Votes Polled: 3,69,030 (56.2%)","Total Male Voters: 1,82,507","Female Voters: 1,86,523"
37,1977,Autonomous District,3,"Electors: 2,27,812","Male Electors: 1,21,656","Female Electors: 1,06,156",Booths: 301,"Total Votes Polled: 1,00,430 (44.1%)","Total Male Voters: 62,371","Female Voters: 38,059"
38,1977,Azamgarh,45,"Electors: 6,32,994","Male Electors: 3,38,149","Female Electors: 2,94,845",Booths: 654,"Total Votes Polled: 3,62,215 (57.2%)","Total Male Voters: 2,02,786","Female Voters: 1,59,429"
39,1977,Badagara,3,"Electors: 6,11,107","Male Electors: 2,97,342","Female Electors: 3,13,765",Booths: 561,"Total Votes Polled: 5,07,090 (83.0%)","Total Male Voters: 2,41,597","Female Voters: 2,65,493"
40,1977,Bagaha,1,"Electors: 6,02,588","Male Electors: 3,27,924","Female Electors: 2,74,664",Booths: 661,"Total Votes Polled: 2,80,285 (46.5%)","Total Male Voters: 1,54,157","Female Voters: 1,26,128"
41,1977,Bagalkot,27,"Electors: 6,26,234","Male Electors: 3,30,073","Female Electors: 2,96,161",Booths: 776,"Total Votes Polled: 3,66,290 (58.5%)","Total Male Voters: 1,94,566","Female Voters: 1,71,724"
42,1977,Baghpat,81,"Electors: 6,10,712","Male Electors: 3,39,076","Female Electors: 2,71,636",Booths: 715,"Total Votes Polled: 4,56,968 (74.8%)","Total Male Voters: 2,74,231","Female Voters: 1,82,737"
43,1977,Bahraich,31,"Electors: 6,53,318","Male Electors: 3,43,935","Female Electors: 3,09,383",Booths: 717,"Total Votes Polled: 3,13,363 (48.0%)","Total Male Voters: 2,23,311","Female Voters: 90,052"
44,1977,Balaghat,23,"Electors: 5,46,723","Male Electors: 2,65,007","Female Electors: 2,81,716",Booths: 692,"Total Votes Polled: 2,99,484 (54.8%)","Total Male Voters: 1,73,037","Female Voters: 1,26,447"
45,1977,Balasore,2,"Electors: 6,15,737","Male Electors: 3,23,750","Female Electors: 2,91,987",Booths: 700,"Total Votes Polled: 3,50,771 (57.0%)","Total Male Voters: 1,97,528","Female Voters: 1,53,243"
46,1977,Balia,19,"Electors: 6,39,621","Male Electors: 3,29,106","Female Electors: 3,10,515",Booths: 720,"Total Votes Polled: 3,83,287 (59.9%)","Total Male Voters: 2,22,684","Female Voters: 1,60,603"
47,1977,Ballia,43,"Electors: 6,61,187","Male Electors: 3,64,230","Female Electors: 2,96,957",Booths: 788,"Total Votes Polled: 3,69,791 (55.9%)","Total Male Voters: 2,27,261","Female Voters: 1,42,530"
48,1977,Balrampur,32,"Electors: 6,36,645","Male Electors: 3,31,070","Female Electors: 3,05,575",Booths: 718,"Total Votes Polled: 3,48,147 (54.7%)","Total Male Voters: 2,26,891","Female Voters: 1,21,256"
49,1977,Balurghat,6,"Electors: 5,57,919","Male Electors: 2,85,339","Female Electors: 2,72,580",Booths: 632,"Total Votes Polled: 3,69,396 (66.2%)","Total Male Voters: 2,11,874","Female Voters: 1,57,522"
50,1977,Banaskantha,14,"Electors: 5,05,258","Male Electors: 2,53,847","Female Electors: 2,51,411",Booths: 724,"Total Votes Polled: 2,83,574 (56.1%)","Total Male Voters: 1,60,783","Female Voters: 1,22,791"
51,1977,Banda,59,"Electors: 5,62,759","Male Electors: 2,96,210","Female Electors: 2,66,549",Booths: 725,"Total Votes Polled: 2,95,306 (52.5%)","Total Male Voters: 1,90,354","Female Voters: 1,04,952"
52,1977,Bangalore North,12,"Electors: 6,22,416","Male Electors: 3,29,244","Female Electors: 2,93,172",Booths: 652,"Total Votes Polled: 3,74,502 (60.2%)","Total Male Voters: 2,07,889","Female Voters: 1,66,613"
53,1977,Bangalore South,13,"Electors: 6,64,246","Male Electors: 3,61,962","Female Electors: 3,02,284",Booths: 610,"Total Votes Polled: 4,26,595 (64.2%)","Total Male Voters: 2,42,439","Female Voters: 1,84,156"
54,1977,Banka,29,"Electors: 6,24,645","Male Electors: 3,32,125","Female Electors: 2,92,520",Booths: 729,"Total Votes Polled: 3,44,437 (55.1%)","Total Male Voters: 2,23,934","Female Voters: 1,20,503"
55,1977,Bankura,35,"Electors: 6,03,383","Male Electors: 2,99,941","Female Electors: 3,03,442",Booths: 713,"Total Votes Polled: 3,20,481 (53.1%)","Total Male Voters: 1,92,372","Female Voters: 1,28,109"
56,1977,Bansgaon,37,"Electors: 6,31,621","Male Electors: 3,48,343","Female Electors: 2,83,278",Booths: 757,"Total Votes Polled: 3,08,310 (48.8%)","Total Male Voters: 1,81,387","Female Voters: 1,26,923"
57,1977,Banswara,16,"Electors: 5,37,126","Male Electors: 2,65,323","Female Electors: 2,71,803",Booths: 654,"Total Votes Polled: 3,47,464 (64.7%)","Total Male Voters: 1,90,452","Female Voters: 1,57,012"
58,1977,Bapatla,16,"Electors: 6,88,651","Male Electors: 3,41,593","Female Electors: 3,47,058",Booths: 786,"Total Votes Polled: 4,81,558 (69.9%)","Total Male Voters: 2,47,746","Female Voters: 2,33,812"
59,1977,Bara Banki,29,"Electors: 6,02,833","Male Electors: 3,17,736","Female Electors: 2,85,097",Booths: 684,"Total Votes Polled: 3,05,749 (50.7%)","Total Male Voters: 2,04,786","Female Voters: 1,00,963"
60,1977,Baramati,43,"Electors: 6,32,214","Male Electors: 3,19,678","Female Electors: 3,12,536",Booths: 735,"Total Votes Polled: 3,88,962 (61.5%)","Total Male Voters: 2,09,357","Female Voters: 1,79,605"
61,1977,Baramulla,1,"Electors: 4,53,765","Male Electors: 2,51,507","Female Electors: 2,02,258",Booths: 643,"Total Votes Polled: 2,58,507 (57.0%)","Total Male Voters: 1,86,215","Female Voters: 72,292"
62,1977,Barasat,13,"Electors: 6,09,986","Male Electors: 3,17,320","Female Electors: 2,92,666",Booths: 723,"Total Votes Polled: 3,72,416 (61.1%)","Total Male Voters: 2,23,578","Female Voters: 1,48,838"
63,1977,Bareilly,12,"Electors: 5,63,569","Male Electors: 3,09,955","Female Electors: 2,53,614",Booths: 623,"Total Votes Polled: 2,99,752 (53.2%)","Total Male Voters: 1,85,183","Female Voters: 1,14,569"
64,1977,Barh,18,"Electors: 6,91,495","Male Electors: 3,61,235","Female Electors: 3,30,260",Booths: 834,"Total Votes Polled: 4,98,010 (72.0%)","Total Male Voters: 2,93,963","Female Voters: 2,04,047"
65,1977,Barmer,23,"Electors: 6,38,287","Male Electors: 3,36,950","Female Electors: 3,01,337",Booths: 793,"Total Votes Polled: 3,09,628 (48.5%)","Total Male Voters: 2,07,727","Female Voters: 1,01,901"
66,1977,Baroda,22,"Electors: 5,95,724","Male Electors: 3,17,171","Female Electors: 2,78,553",Booths: 731,"Total Votes Polled: 4,11,857 (69.1%)","Total Male Voters: 2,26,440","Female Voters: 1,85,417"
67,1977,Barpeta,6,"Electors: 5,58,853","Male Electors: 3,00,597","Female Electors: 2,58,256",Booths: 615,"Total Votes Polled: 3,55,264 (63.6%)","Total Male Voters: 1,93,847","Female Voters: 1,61,417"
68,1977,Barrackpore,19,"Electors: 6,50,725","Male Electors: 4,03,212","Female Electors: 2,47,513",Booths: 743,"Total Votes Polled: 4,70,018 (72.2%)","Total Male Voters: 2,77,419","Female Voters: 1,92,599"
69,1977,Basirhat,14,"Electors: 5,83,782","Male Electors: 3,17,213","Female Electors: 2,66,569",Booths: 710,"Total Votes Polled: 3,51,244 (60.2%)","Total Male Voters: 2,03,760","Female Voters: 1,47,484"
70,1977,Bastar,20,"Electors: 4,95,505","Male Electors: 2,43,581","Female Electors: 2,51,924",Booths: 715,"Total Votes Polled: 2,12,567 (42.9%)","Total Male Voters: 1,34,023","Female Voters: 78,544"
71,1977,Basti,34,"Electors: 6,39,639","Male Electors: 3,45,152","Female Electors: 2,94,487",Booths: 759,"Total Votes Polled: 3,21,757 (50.3%)","Total Male Voters: 2,07,395","Female Voters: 1,14,362"
72,1977,Bayana,10,"Electors: 5,95,518","Male Electors: 3,19,558","Female Electors: 2,75,960",Booths: 777,"Total Votes Polled: 3,42,279 (57.5%)","Total Male Voters: 2,03,081","Female Voters: 1,39,198"
73,1977,Beed,34,"Electors: 6,98,692","Male Electors: 3,53,116","Female Electors: 3,45,576",Booths: 873,"Total Votes Polled: 3,54,660 (50.8%)","Total Male Voters: 1,94,371","Female Voters: 1,60,289"
74,1977,Begusarai,33,"Electors: 6,74,335","Male Electors: 3,57,122","Female Electors: 3,17,213",Booths: 794,"Total Votes Polled: 4,26,289 (63.2%)","Total Male Voters: 2,25,947","Female Voters: 2,00,342"
75,1977,Belgaum,25,"Electors: 6,29,378","Male Electors: 3,17,188","Female Electors: 3,12,190",Booths: 762,"Total Votes Polled: 3,31,684 (52.7%)","Total Male Voters: 1,79,484","Female Voters: 1,52,200"
76,1977,Bellary,5,"Electors: 5,93,687","Male Electors: 2,97,162","Female Electors: 2,96,525",Booths: 722,"Total Votes Polled: 3,86,059 (65.0%)","Total Male Voters: 1,97,704","Female Voters: 1,88,355"
77,1977,Berhampore,10,"Electors: 6,45,013","Male Electors: 3,27,669","Female Electors: 3,17,344",Booths: 717,"Total Votes Polled: 3,91,275 (60.7%)","Total Male Voters: 2,02,984","Female Voters: 1,88,291"
78,1977,Berhampur,11,"Electors: 6,07,072","Male Electors: 3,15,263","Female Electors: 2,91,809",Booths: 654,"Total Votes Polled: 2,14,711 (35.4%)","Total Male Voters: 1,27,804","Female Voters: 86,907"
79,1977,Bettiah,2,"Electors: 6,41,326","Male Electors: 3,39,104","Female Electors: 3,02,222",Booths: 623,"Total Votes Polled: 3,23,082 (50.4%)","Total Male Voters: 2,31,002","Female Voters: 92,080"
80,1977,Betul,28,"Electors: 5,04,032","Male Electors: 2,48,819","Female Electors: 2,55,213",Booths: 635,"Total Votes Polled: 2,35,157 (46.7%)","Total Male Voters: 1,44,616","Female Voters: 90,541"
81,1977,Bhadrachalam,5,"Electors: 5,98,925","Male Electors: 2,98,358","Female Electors: 3,00,567",Booths: 666,"Total Votes Polled: 2,70,495 (45.2%)","Total Male Voters: 1,50,527","Female Voters: 1,19,968"
82,1977,Bhadrak,3,"Electors: 6,14,684","Male Electors: 3,27,744","Female Electors: 2,86,940",Booths: 709,"Total Votes Polled: 3,36,054 (54.7%)","Total Male Voters: 1,87,681","Female Voters: 1,48,373"
83,1977,Bhagalpur,30,"Electors: 6,82,880","Male Electors: 3,49,959","Female Electors: 3,32,921",Booths: 779,"Total Votes Polled: 4,34,658 (63.7%)","Total Male Voters: 2,65,178","Female Voters: 1,69,480"
84,1977,Bhandara,24,"Electors: 6,07,535","Male Electors: 3,00,549","Female Electors: 3,06,986",Booths: 737,"Total Votes Polled: 4,04,717 (66.6%)","Total Male Voters: 2,11,395","Female Voters: 1,93,322"
85,1977,Bharatpur,9,"Electors: 5,71,485","Male Electors: 2,93,141","Female Electors: 2,78,344",Booths: 686,"Total Votes Polled: 3,71,713 (65.0%)","Total Male Voters: 2,12,071","Female Voters: 1,59,642"
86,1977,Bhatinda,11,"Electors: 6,07,613","Male Electors: 3,34,289","Female Electors: 2,73,324",Booths: 711,"Total Votes Polled: 4,35,035 (71.6%)","Total Male Voters: 2,45,318","Female Voters: 1,89,717"
87,1977,Bhavnagar,8,"Electors: 5,09,755","Male Electors: 2,56,184","Female Electors: 2,53,571",Booths: 750,"Total Votes Polled: 2,62,543 (51.5%)","Total Male Voters: 1,45,435","Female Voters: 1,17,108"
88,1977,Bhilwara,20,"Electors: 6,36,244","Male Electors: 3,24,241","Female Electors: 3,12,003",Booths: 796,"Total Votes Polled: 3,63,903 (57.2%)","Total Male Voters: 2,18,803","Female Voters: 1,45,100"
89,1977,Bhind,2,"Electors: 6,49,212","Male Electors: 3,40,713","Female Electors: 3,08,499",Booths: 807,"Total Votes Polled: 3,43,476 (52.9%)","Total Male Voters: 2,23,323","Female Voters: 1,20,153"
90,1977,Bhiwani,8,"Electors: 5,90,889","Male Electors: 3,12,539","Female Electors: 2,78,350",Booths: 663,"Total Votes Polled: 4,35,502 (73.7%)","Total Male Voters: 2,37,922","Female Voters: 1,97,580"
91,1977,Bhopal,30,"Electors: 6,16,993","Male Electors: 3,27,476","Female Electors: 2,89,517",Booths: 711,"Total Votes Polled: 3,81,028 (61.8%)","Total Male Voters: 2,20,740","Female Voters: 1,60,288"
92,1977,Bhubaneswar,9,"Electors: 6,09,164","Male Electors: 3,23,367","Female Electors: 2,85,797",Booths: 670,"Total Votes Polled: 2,46,013 (40.4%)","Total Male Voters: 1,23,007","Female Voters: 1,23,006"
93,1977,Bidar,1,"Electors: 6,06,711","Male Electors: 3,08,694","Female Electors: 2,98,017",Booths: 787,"Total Votes Polled: 3,11,925 (51.4%)","Total Male Voters: 1,75,704","Female Voters: 1,36,221"
94,1977,Bijapur,28,"Electors: 5,76,941","Male Electors: 2,92,266","Female Electors: 2,84,675",Booths: 719,"Total Votes Polled: 3,37,433 (58.5%)","Total Male Voters: 1,80,358","Female Voters: 1,57,075"
95,1977,Bijnor,5,"Electors: 5,94,498","Male Electors: 3,21,350","Female Electors: 2,73,148",Booths: 624,"Total Votes Polled: 3,53,959 (59.5%)","Total Male Voters: 2,06,042","Female Voters: 1,47,917"
96,1977,Bikaner,2,"Electors: 6,75,406","Male Electors: 3,56,350","Female Electors: 3,19,056",Booths: 872,"Total Votes Polled: 3,68,614 (54.6%)","Total Male Voters: 2,14,163","Female Voters: 1,54,451"
97,1977,Bikramganj,39,"Electors: 6,92,767","Male Electors: 3,72,002","Female Electors: 3,20,765",Booths: 818,"Total Votes Polled: 4,25,266 (61.4%)","Total Male Voters: 2,46,174","Female Voters: 1,79,092"
98,1977,Bilaspur,15,"Electors: 5,46,085","Male Electors: 2,65,442","Female Electors: 2,80,643",Booths: 633,"Total Votes Polled: 3,05,653 (56.0%)","Total Male Voters: 1,68,290","Female Voters: 1,37,363"
99,1977,Bilhaur,64,"Electors: 6,20,424","Male Electors: 3,53,688","Female Electors: 2,66,736",Booths: 696,"Total Votes Polled: 3,71,190 (59.8%)","Total Male Voters: 2,47,357","Female Voters: 1,23,833"
100,1977,Birbhum,42,"Electors: 5,53,221","Male Electors: 2,77,504","Female Electors: 2,75,717",Booths: 634,"Total Votes Polled: 2,88,116 (52.1%)","Total Male Voters: 1,85,738","Female Voters: 1,02,378"
101,1977,Bobbili,3,"Electors: 6,35,653","Male Electors: 3,10,230","Female Electors: 3,25,423",Booths: 726,"Total Votes Polled: 3,42,868 (53.9%)","Total Male Voters: 1,87,009","Female Voters: 1,55,859"
102,1977,Bolangir,16,"Electors: 5,72,122","Male Electors: 2,92,578","Female Electors: 2,79,544",Booths: 623,"Total Votes Polled: 2,32,260 (40.6%)","Total Male Voters: 1,52,795","Female Voters: 79,465"
103,1977,Bolpur,41,"Electors: 5,50,289","Male Electors: 2,75,867","Female Electors: 2,74,422",Booths: 650,"Total Votes Polled: 2,66,128 (48.4%)","Total Male Voters: 1,75,036","Female Voters: 91,092"
104,1977,Bombay North,9,"Electors: 6,59,985","Male Electors: 3,71,651","Female Electors: 2,88,334",Booths: 645,"Total Votes Polled: 4,22,795 (64.1%)","Total Male Voters: 2,51,051","Female Voters: 1,71,744"
105,1977,Bombay North Central,6,"Electors: 6,77,049","Male Electors: 4,13,204","Female Electors: 2,63,845",Booths: 666,"Total Votes Polled: 4,01,104 (59.2%)","Total Male Voters: 2,42,202","Female Voters: 1,58,902"
106,1977,Bombay North East,7,"Electors: 6,97,754","Male Electors: 4,10,521","Female Electors: 2,87,233",Booths: 680,"Total Votes Polled: 4,31,636 (61.9%)","Total Male Voters: 2,58,650","Female Voters: 1,72,986"
107,1977,Bombay North West,8,"Electors: 6,43,901","Male Electors: 3,65,846","Female Electors: 2,78,055",Booths: 591,"Total Votes Polled: 4,09,025 (63.5%)","Total Male Voters: 2,41,534","Female Voters: 1,67,491"
108,1977,Bombay South,4,"Electors: 6,85,196","Male Electors: 4,37,857","Female Electors: 2,47,339",Booths: 647,"Total Votes Polled: 4,05,754 (59.2%)","Total Male Voters: 2,47,099","Female Voters: 1,58,655"
109,1977,Bombay South Central,5,"Electors: 6,55,937","Male Electors: 4,39,553","Female Electors: 2,16,384",Booths: 632,"Total Votes Polled: 3,87,772 (59.1%)","Total Male Voters: 2,56,353","Female Voters: 1,31,419"
110,1977,Broach,23,"Electors: 5,44,523","Male Electors: 2,72,875","Female Electors: 2,71,648",Booths: 703,"Total Votes Polled: 3,45,057 (63.4%)","Total Male Voters: 1,83,782","Female Voters: 1,61,275"
111,1977,Budaun,10,"Electors: 6,02,666","Male Electors: 3,31,219","Female Electors: 2,71,447",Booths: 648,"Total Votes Polled: 3,47,350 (57.6%)","Total Male Voters: 2,19,960","Female Voters: 1,27,390"
112,1977,Bulandshahr,78,"Electors: 6,29,818","Male Electors: 3,43,843","Female Electors: 2,85,975",Booths: 687,"Total Votes Polled: 4,08,756 (64.9%)","Total Male Voters: 2,45,618","Female Voters: 1,63,138"
113,1977,Buldhana,18,"Electors: 5,80,389","Male Electors: 2,90,370","Female Electors: 2,90,019",Booths: 705,"Total Votes Polled: 3,52,690 (60.8%)","Total Male Voters: 1,94,253","Female Voters: 1,58,437"
114,1977,Bulsar,26,"Electors: 5,56,415","Male Electors: 2,77,097","Female Electors: 2,79,318",Booths: 664,"Total Votes Polled: 3,30,000 (59.3%)","Total Male Voters: 1,70,455","Female Voters: 1,59,545"
115,1977,Burdwan,39,"Electors: 6,38,853","Male Electors: 3,38,438","Female Electors: 3,00,415",Booths: 730,"Total Votes Polled: 3,63,202 (56.9%)","Total Male Voters: 2,10,478","Female Voters: 1,52,724"
116,1977,Buxar,37,"Electors: 7,05,022","Male Electors: 3,70,359","Female Electors: 3,34,663",Booths: 809,"Total Votes Polled: 4,46,815 (63.4%)","Total Male Voters: 2,76,250","Female Voters: 1,70,565"
117,1977,Calcutta North East,22,"Electors: 6,41,747","Male Electors: 4,27,813","Female Electors: 2,13,934",Booths: 768,"Total Votes Polled: 3,61,255 (56.3%)","Total Male Voters: 2,33,903","Female Voters: 1,27,352"
118,1977,Calcutta North West,21,"Electors: 5,95,840","Male Electors: 3,64,654","Female Electors: 2,31,186",Booths: 666,"Total Votes Polled: 3,21,742 (54.0%)","Total Male Voters: 2,23,034","Female Voters: 98,708"
119,1977,Calcutta South,23,"Electors: 6,54,202","Male Electors: 3,96,723","Female Electors: 2,57,479",Booths: 775,"Total Votes Polled: 3,98,561 (60.9%)","Total Male Voters: 2,44,141","Female Voters: 1,54,420"
120,1977,Calicut,4,"Electors: 5,59,054","Male Electors: 2,83,691","Female Electors: 2,75,363",Booths: 524,"Total Votes Polled: 4,57,067 (81.8%)","Total Male Voters: 2,33,161","Female Voters: 2,23,906"
121,1977,Cannanore,2,"Electors: 5,53,360","Male Electors: 2,77,034","Female Electors: 2,76,326",Booths: 517,"Total Votes Polled: 4,57,869 (82.7%)","Total Male Voters: 2,27,267","Female Voters: 2,30,602"
122,1977,Chail,57,"Electors: 6,24,372","Male Electors: 3,42,072","Female Electors: 2,82,300",Booths: 734,"Total Votes Polled: 2,56,616 (41.1%)","Total Male Voters: 1,36,049","Female Voters: 1,20,567"
123,1977,Chamarajanagar,15,"Electors: 6,06,937","Male Electors: 3,12,039","Female Electors: 2,94,898",Booths: 776,"Total Votes Polled: 4,00,768 (66.0%)","Total Male Voters: 2,20,853","Female Voters: 1,79,915"
124,1977,Chandauli,51,"Electors: 6,04,665","Male Electors: 3,08,506","Female Electors: 2,96,159",Booths: 686,"Total Votes Polled: 3,98,509 (65.9%)","Total Male Voters: 2,12,265","Female Voters: 1,86,244"
125,1977,Chandigarh,1,"Electors: 1,60,963","Male Electors: 92,520","Female Electors: 68,443",Booths: 150,"Total Votes Polled: 1,08,494 (67.4%)","Total Male Voters: 63,310","Female Voters: 45,184"
